Publisher,Title,Genre,Console,USSales,YearReleased,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
"Konami of Europe GmbH, Konami Digital Entertainment, Inc.",Death Jr.,Action,Sony PSP,0.19,2005,0,0,9.95,61,1,1,0,0,1,0,0,0
"Electronic Arts, Inc.",Harry Potter and the Goblet of Fire,Action,Sony PSP,0.19,2005,1,0,17.95,70,1,1,1,1,1,0,0,1
"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd.",MediEvil Resurrection,Action,Sony PSP,0.19,2005,1,0,17.95,66,1,1,0,0,1,0,0,0
"Buena Vista Games, Inc.","The Chronicles of Narnia: The Lion, the Witch a...","Action, Role-Playing (RPG)",Nintendo DS,0.18,2005,0,0,12.95,65,1,1,0,0,1,0,0,1
"Activision Publishing, Inc.",Shrek SuperSlam,Action,Nintendo DS,0.18,2005,0,0,11.95,56,1,1,0,1,1,0,0,1
"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",Virtua Tennis: World Tour,Sports,Sony PSP,0.18,2005,1,0,14.95,84,1,1,1,1,1,0,0,1
"Ubisoft, Inc.",Prince of Persia: Revelations,Action,Sony PSP,0.17,2005,1,1,6.95,65,1,1,0,0,1,0,0,0
"Electronic Arts, Inc.",Burnout Legends,"Action, Racing / Driving",Nintendo DS,0.16,2005,0,0,17.95,38,1,1,0,0,1,0,0,1
"Bandai Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Meteos,Strategy,Nintendo DS,0.16,2005,0,0,15.95,88,1,1,0,0,1,0,0,0
"Sierra Entertainment, Inc., Vivendi Universal Games, Inc.",Spyro: Shadow Legacy,Role-Playing (RPG),Nintendo DS,0.15,2005,1,0,17.95,50,1,1,0,0,1,0,0,0
"Sony Computer Entertainment America, Inc.",The Con,Action,Sony PSP,0.15,2005,0,0,8.95,63,1,1,0,0,1,0,0,0
Majesco Entertainment Company,Infected,Action,Sony PSP,0.15,2005,0,0,17.95,74,1,1,1,0,1,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Trace Memory,Adventure,Nintendo DS,0.14,2005,0,0,14.95,70,1,1,0,0,1,0,0,0
"Sony Computer Entertainment America, Inc., SCEE, Spike Co., Ltd.",Pursuit Force,"Action, Racing / Driving",Sony PSP,0.14,2005,0,0,14.95,75,1,1,0,0,1,0,0,0
"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Incorporated",Kingdom of Paradise,"Action, Role-Playing (RPG)",Sony PSP,0.13,2005,0,0,12.95,72,1,2,1,0,1,0,0,0
"Atari, Inc.",Dragon Ball Z: Supersonic Warriors 2,Action,Nintendo DS,0.13,2005,1,0,22.95,66,1,1,0,1,1,0,0,0
"Square Enix Co., Ltd., Square Enix, Inc.",Dragon Quest Heroes: Rocket Slime,Action,Nintendo DS,0.13,2005,1,0,12.95,83,1,1,0,0,1,0,0,0
"Namco Europe Limited, Namco Hometek Inc.",Dead to Rights: Reckoning,Action,Sony PSP,0.13,2005,1,0,14.95,54,1,1,1,0,1,0,0,0
"Crave Entertainment, Inc., Oxygen Interactive Software Ltd.",World Championship Poker 2 featuring Howard Led...,Simulation,Sony PSP,0.13,2005,1,0,9.95,65,1,1,0,0,1,0,0,1
2K Sports,Amped 3,Sports,X360,0.13,2005,1,0,14.95,72,0,1,0,0,0,0,0,0
"D3Publisher Inc., D3Publisher of America, Inc.",Break 'em All,Action,Nintendo DS,0.12,2005,0,0,17.95,68,1,1,0,0,1,0,0,0
"Marvelous Entertainment Inc., Rising Star Games Ltd., Ubisoft, Inc.",Lunar: Dragon Song,Role-Playing (RPG),Nintendo DS,0.12,2005,0,0,14.95,59,1,1,0,0,1,0,0,0
"Electronic Arts, Inc.",Madden NFL 06,Sports,Nintendo DS,0.12,2005,1,0,9.95,66,1,1,0,1,1,0,0,1
"Atari Europe S.A.S.U., Atari, Inc.",Retro Atari Classics,"Action, Racing / Driving, Simulation",Nintendo DS,0.12,2005,0,1,12.95,51,1,1,0,0,1,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",True Swing Golf,Sports,Nintendo DS,0.12,2005,0,0,14.95,66,1,1,0,0,1,0,0,0
"Electronic Arts, Inc.",FIFA Soccer,Sports,Sony PSP,0.12,2005,1,0,14.95,73,1,1,0,1,1,0,0,1
