USSales,YearReleased,Sequel,ReRelease,Usedprice,ReviewScore,Lifecycle,MaxPlayers,Online,licensed,Handheld,Accessory,LtdEdition,Multiplatform
0.07,2006,1,0,14.95,52,1,4,1,0,0,0,0,1
0.07,2006,0,0,17.95,65,0,2,0,1,0,0,0,1
0.07,2006,1,0,16.95,38,0,2,0,0,0,0,0,0
0.07,2006,0,0,17.95,54,1,2,1,1,0,0,0,0
0.07,2006,0,0,14.95,73,2,1,1,0,1,0,0,0
0.07,2006,0,0,17.95,66,2,1,0,1,1,0,0,1
0.07,2006,0,0,14.95,60,2,1,0,0,1,0,0,0
0.07,2006,1,0,17.95,58,2,1,1,1,1,0,0,1
0.07,2006,1,0,17.95,61,2,1,0,0,1,0,0,0
0.07,2006,0,1,12.95,67,2,1,1,0,1,0,0,0
0.07,2006,0,0,17.95,68,2,1,0,0,1,0,0,0
0.07,2006,0,0,17.95,64,2,1,1,0,1,0,0,0
0.07,2006,1,0,14.95,63,2,1,0,0,1,0,0,1
0.07,2006,1,0,17.95,66,0,1,0,1,0,0,0,0
0.06,2006,1,0,17.95,62,1,4,1,0,0,0,0,0
0.06,2006,0,0,16.95,72,2,1,0,1,1,0,0,1
0.06,2006,0,0,10.95,57,2,1,0,0,1,0,0,0
0.06,2006,0,0,16.95,60,2,1,1,0,1,0,0,0
0.06,2006,0,0,11.95,74,2,1,1,0,1,0,0,0
0.06,2006,0,1,17.95,72,2,1,0,0,1,0,0,0
0.06,2006,0,0,14.95,44,2,1,0,1,1,0,0,1
0.06,2006,0,0,14.95,59,1,1,0,1,0,0,0,1
0.06,2006,0,0,16.95,55,1,1,0,0,0,0,0,0
0.05,2006,0,1,17.95,75,2,4,1,0,1,0,0,0
0.05,2006,1,0,14.95,68,2,2,1,0,1,0,0,1
0.05,2006,0,0,12.95,48,2,1,0,1,1,0,0,1
0.05,2006,0,0,14.95,55,2,1,0,1,1,0,0,0
0.05,2006,1,0,14.95,60,2,1,0,0,1,0,0,0
0.05,2006,0,0,12.95,70,2,1,0,0,1,0,0,0
